epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
77,13976.7,0.89605,0.63496,1.30306,0.81499,0.78723,0.82188,0.58078,1.13327,0.83235,1.71606,0.0003095,0.0003095,0.0003095
78,14142.9,0.86726,0.63759,1.29982,0.8315,0.79482,0.83389,0.59276,1.05465,0.85525,1.63404,0.000297125,0.000297125,0.000297125
79,14328.3,0.86082,0.642,1.30232,0.87394,0.77751,0.86418,0.63582,1.00551,0.79951,1.56804,0.00028475,0.00028475,0.00028475
80,14498.8,0.85099,0.61696,1.29745,0.77249,0.84617,0.80312,0.57247,1.03364,0.88243,1.61793,0.000272375,0.000272375,0.000272375
81,14672.8,0.8603,0.62268,1.28931,0.82087,0.81157,0.79751,0.58792,1.05753,0.89345,1.63281,0.00026,0.00026,0.00026
82,14850.3,0.83142,0.60789,1.26566,0.78608,0.79015,0.81303,0.58886,1.05942,0.88184,1.66928,0.000247625,0.000247625,0.000247625
83,15024.8,0.82933,0.59867,1.26522,0.8468,0.78878,0.8035,0.57588,1.0694,0.88902,1.68424,0.00023525,0.00023525,0.00023525
84,15200,0.84939,0.61293,1.28033,0.81928,0.77311,0.78916,0.58193,1.0428,0.84542,1.66012,0.000222875,0.000222875,0.000222875
85,15380.6,0.826,0.60015,1.27169,0.81353,0.78792,0.8198,0.58595,1.04385,0.85371,1.62333,0.0002105,0.0002105,0.0002105
86,15564,0.80499,0.57394,1.25282,0.79546,0.82924,0.82235,0.57588,1.09383,0.86594,1.73093,0.000198125,0.000198125,0.000198125
87,15746.7,0.8253,0.59839,1.27167,0.83139,0.78768,0.81655,0.58152,1.10457,0.79658,1.71532,0.00018575,0.00018575,0.00018575
88,15933.2,0.81799,0.58986,1.26761,0.82789,0.81758,0.81284,0.57919,1.00608,0.88543,1.66366,0.000173375,0.000173375,0.000173375
89,16107.9,0.81098,0.58864,1.25636,0.81599,0.75193,0.77341,0.57277,1.01564,0.9224,1.64775,0.000161,0.000161,0.000161
90,16285.1,0.79814,0.5575,1.24104,0.8564,0.74211,0.82292,0.60271,1.01261,0.87482,1.60952,0.000148625,0.000148625,0.000148625
91,16494.8,0.7233,0.47766,1.25113,0.84777,0.79592,0.83709,0.58363,1.11305,0.83408,1.74485,0.00013625,0.00013625,0.00013625
92,16671.2,0.69295,0.44032,1.2187,0.8423,0.75649,0.80781,0.58271,1.08663,0.85353,1.76418,0.000123875,0.000123875,0.000123875
93,16856.5,0.67928,0.42082,1.22049,0.7413,0.8165,0.75646,0.56298,1.03632,0.86646,1.73385,0.0001115,0.0001115,0.0001115
94,17047.2,0.65357,0.42393,1.18445,0.78627,0.77987,0.75937,0.55499,1.07096,0.90378,1.7634,9.9125e-05,9.9125e-05,9.9125e-05
95,17231.9,0.63703,0.40337,1.17931,0.80911,0.82616,0.79338,0.56429,1.05985,0.91432,1.76047,8.675e-05,8.675e-05,8.675e-05
96,17419.7,0.6475,0.39781,1.19105,0.7879,0.8314,0.80184,0.5823,1.05472,0.86187,1.74256,7.4375e-05,7.4375e-05,7.4375e-05
97,17609.5,0.65414,0.3951,1.18795,0.75577,0.83702,0.77267,0.57186,1.06029,0.86616,1.74345,6.2e-05,6.2e-05,6.2e-05
98,17791.5,0.62333,0.38316,1.1805,0.85386,0.77329,0.80055,0.58803,1.0404,0.88564,1.71274,4.9625e-05,4.9625e-05,4.9625e-05
99,17960.8,0.63897,0.39733,1.19779,0.82738,0.77953,0.79649,0.58315,1.04854,0.8824,1.75417,3.725e-05,3.725e-05,3.725e-05
100,18134.5,0.62182,0.37276,1.16473,0.78376,0.83107,0.79733,0.58735,1.04743,0.8911,1.74169,2.4875e-05,2.4875e-05,2.4875e-05
